fuel	period	month	price
Conventional_DR	2026	3	0
Conventional_DR	2026	4	0
Conventional_DR	2026	5	0
Conventional_DR	2026	6	0
Conventional_DR	2026	7	0
Conventional_DR	2026	8	0
Conventional_DR	2026	9	0
Conventional_DR	2026	10	0
Conventional_DR	2026	11	0
Conventional_DR	2026	12	0
Conventional_DR	2030	1	0
Conventional_DR	2030	2	0
Conventional_DR	2030	3	0
Conventional_DR	2030	4	0
Conventional_DR	2030	5	0
Conventional_DR	2030	6	0
Conventional_DR	2030	7	0
Conventional_DR	2030	8	0
Conventional_DR	2030	9	0
Conventional_DR	2030	10	0
Conventional_DR	2030	11	0
Conventional_DR	2030	12	0
Conventional_DR	2035	1	0
Conventional_DR	2035	2	0
Conventional_DR	2035	3	0
Conventional_DR	2035	4	0
Conventional_DR	2035	5	0
Conventional_DR	2035	6	0
Conventional_DR	2035	7	0
Conventional_DR	2035	8	0
Conventional_DR	2035	9	0
Conventional_DR	2035	10	0
Conventional_DR	2035	11	0
Conventional_DR	2035	12	0
Conventional_DR	2040	1	0
Conventional_DR	2040	2	0
Conventional_DR	2040	3	0
Conventional_DR	2040	4	0
Conventional_DR	2040	5	0
Conventional_DR	2040	6	0
Conventional_DR	2040	7	0
Conventional_DR	2040	8	0
Conventional_DR	2040	9	0
Conventional_DR	2040	10	0
Conventional_DR	2040	11	0
Conventional_DR	2040	12	0
Conventional_DR	2045	1	0
Conventional_DR	2045	2	0
Conventional_DR	2045	3	0
Conventional_DR	2045	4	0
Conventional_DR	2045	5	0
Conventional_DR	2045	6	0
Conventional_DR	2045	7	0
Conventional_DR	2045	8	0
Conventional_DR	2045	9	0
Conventional_DR	2045	10	0
Conventional_DR	2045	11	0
Conventional_DR	2045	12	0
