resource	day_id	hr_of_day	cap_factor	downward_lf_req	upward_lf_req
SW_Ext_Tx_Wind	34	20	0.61222572346835	0	0
SW_Ext_Tx_Wind	34	21	0.606773145134691	0	0
SW_Ext_Tx_Wind	34	22	0.551720250313758	0	0
SW_Ext_Tx_Wind	34	23	0.357464187235009	0	0
SW_Ext_Tx_Wind	35	0	0.196591815720056	0	0
SW_Ext_Tx_Wind	35	1	0	0	0
SW_Ext_Tx_Wind	35	2	0	0	0
SW_Ext_Tx_Wind	35	3	0	0	0
SW_Ext_Tx_Wind	35	4	0	0	0
SW_Ext_Tx_Wind	35	5	0	0	0
SW_Ext_Tx_Wind	35	6	0	0	0
SW_Ext_Tx_Wind	35	7	0	0	0
SW_Ext_Tx_Wind	35	8	0	0	0
SW_Ext_Tx_Wind	35	9	0	0	0
SW_Ext_Tx_Wind	35	10	0	0	0
SW_Ext_Tx_Wind	35	11	0	0	0
SW_Ext_Tx_Wind	35	12	0	0	0
SW_Ext_Tx_Wind	35	13	0	0	0
SW_Ext_Tx_Wind	35	14	0	0	0
SW_Ext_Tx_Wind	35	15	0	0	0
SW_Ext_Tx_Wind	35	16	0	0	0
SW_Ext_Tx_Wind	35	17	0	0	0
SW_Ext_Tx_Wind	35	18	2.39831943716445E-02	0	0
SW_Ext_Tx_Wind	35	19	5.09832841388389E-02	0	0
SW_Ext_Tx_Wind	35	20	0.137984759120053	0	0
SW_Ext_Tx_Wind	35	21	0.129944931140805	0	0
SW_Ext_Tx_Wind	35	22	7.86779156460249E-02	0	0
SW_Ext_Tx_Wind	35	23	4.04840541774076E-02	0	0
SW_Ext_Tx_Wind	36	0	0	0	0
SW_Ext_Tx_Wind	36	1	1.95613170987903E-02	0	0
SW_Ext_Tx_Wind	36	2	0	0	0
SW_Ext_Tx_Wind	36	3	0	0	0
SW_Ext_Tx_Wind	36	4	0	0	0
SW_Ext_Tx_Wind	36	5	0	0	0
SW_Ext_Tx_Wind	36	6	0	0	0
SW_Ext_Tx_Wind	36	7	0	0	0
SW_Ext_Tx_Wind	36	8	0	0	0
SW_Ext_Tx_Wind	36	9	0	0	0
SW_Ext_Tx_Wind	36	10	0	0	0
SW_Ext_Tx_Wind	36	11	0	0	0
SW_Ext_Tx_Wind	36	12	1.45259923258731E-02	0	0
SW_Ext_Tx_Wind	36	13	0.140809787346735	0	0
SW_Ext_Tx_Wind	36	14	9.78816484794225E-02	0	0
SW_Ext_Tx_Wind	36	15	7.57757559677811E-03	0	0
SW_Ext_Tx_Wind	36	16	0	0	0
SW_Ext_Tx_Wind	36	17	0	0	0
SW_Ext_Tx_Wind	36	18	0	0	0
SW_Ext_Tx_Wind	36	19	0.103267338081743	0	0
SW_Ext_Tx_Wind	36	20	0.176693907618604	0	0
SW_Ext_Tx_Wind	36	21	0.15328358641329	0	0
SW_Ext_Tx_Wind	36	22	0.153260757250481	0	0
SW_Ext_Tx_Wind	36	23	0.301922392438604	0	0
SW_Ext_Tx_Wind	37	0	0.493022418752489	0	0
SW_Ext_Tx_Wind	37	1	0.376500046604597	0	0
SW_Ext_Tx_Wind	37	2	0.12845843180871	0	0
SW_Ext_Tx_Wind	37	3	0	0	0
SW_Ext_Tx_Wind	37	4	0	0	0
SW_Ext_Tx_Wind	37	5	0	0	0
SW_Ext_Tx_Wind	37	6	0	0	0
SW_Ext_Tx_Wind	37	7	0	0	0
SW_Ext_Tx_Wind	37	8	0	0	0
SW_Ext_Tx_Wind	37	9	0	0	0
SW_Ext_Tx_Wind	37	10	0	0	0
SW_Ext_Tx_Wind	37	11	0	0	0
SW_Ext_Tx_Wind	37	12	0	0	0
SW_Ext_Tx_Wind	37	13	0	0	0
SW_Ext_Tx_Wind	37	14	0	0	0
SW_Ext_Tx_Wind	37	15	0	0	0
SW_Ext_Tx_Wind	37	16	0.053868827465619	0	0
SW_Ext_Tx_Wind	37	17	0.146521540391512	0	0
SW_Ext_Tx_Wind	37	18	0.133309495131702	0	0
SW_Ext_Tx_Wind	37	19	0.127041240915423	0	0
SW_Ext_Tx_Wind	37	20	0.219591124349682	0	0
SW_Ext_Tx_Wind	37	21	0.227474156923278	0	0
SW_Ext_Tx_Wind	37	22	0.145838604672983	0	0
SW_Ext_Tx_Wind	37	23	0.114443250423863	0	0
Tehachapi_Ex_Solar	1	0	0	0	0
Tehachapi_Ex_Solar	1	1	0	0	0
Tehachapi_Ex_Solar	1	2	0	0	0
Tehachapi_Ex_Solar	1	3	0	0	0
Tehachapi_Ex_Solar	1	4	0	0	0
Tehachapi_Ex_Solar	1	5	0	0	0
Tehachapi_Ex_Solar	1	6	0	0	0
Tehachapi_Ex_Solar	1	7	0	0	0
Tehachapi_Ex_Solar	1	8	0.429537080713063	0	0
Tehachapi_Ex_Solar	1	9	0.733980273035168	0	0
Tehachapi_Ex_Solar	1	10	0.706471837466891	0	0
Tehachapi_Ex_Solar	1	11	0.636397614648551	0	0
Tehachapi_Ex_Solar	1	12	0.596447487906573	0	0
Tehachapi_Ex_Solar	1	13	0.620864728402537	0	0
Tehachapi_Ex_Solar	1	14	0.662405345925094	0	0
Tehachapi_Ex_Solar	1	15	0.621967318174417	0	0
Tehachapi_Ex_Solar	1	16	0.2111605667852	0	0
Tehachapi_Ex_Solar	1	17	0	0	0
Tehachapi_Ex_Solar	1	18	0	0	0
Tehachapi_Ex_Solar	1	19	0	0	0
Tehachapi_Ex_Solar	1	20	0	0	0
Tehachapi_Ex_Solar	1	21	0	0	0
Tehachapi_Ex_Solar	1	22	0	0	0
Tehachapi_Ex_Solar	1	23	0	0	0
Tehachapi_Ex_Solar	2	0	0	0	0
Tehachapi_Ex_Solar	2	1	0	0	0
Tehachapi_Ex_Solar	2	2	0	0	0
Tehachapi_Ex_Solar	2	3	0	0	0
Tehachapi_Ex_Solar	2	4	0	0	0
Tehachapi_Ex_Solar	2	5	0	0	0
Tehachapi_Ex_Solar	2	6	0	0	0
Tehachapi_Ex_Solar	2	7	0	0	0
Tehachapi_Ex_Solar	2	8	0.410292710863004	0	0
Tehachapi_Ex_Solar	2	9	0.70392051238567	0	0
Tehachapi_Ex_Solar	2	10	0.682170587365213	0	0
Tehachapi_Ex_Solar	2	11	0.607683767731216	0	0
Tehachapi_Ex_Solar	2	12	0.500287164788319	0	0
Tehachapi_Ex_Solar	2	13	0.473519681719036	0	0
Tehachapi_Ex_Solar	2	14	0.423643782458377	0	0
Tehachapi_Ex_Solar	2	15	0.36871241650876	0	0
Tehachapi_Ex_Solar	2	16	0.182032847145621	0	0
Tehachapi_Ex_Solar	2	17	0	0	0
Tehachapi_Ex_Solar	2	18	0	0	0
Tehachapi_Ex_Solar	2	19	0	0	0
Tehachapi_Ex_Solar	2	20	0	0	0
Tehachapi_Ex_Solar	2	21	0	0	0
Tehachapi_Ex_Solar	2	22	0	0	0
Tehachapi_Ex_Solar	2	23	0	0	0
Tehachapi_Ex_Solar	3	0	0	0	0
Tehachapi_Ex_Solar	3	1	0	0	0
Tehachapi_Ex_Solar	3	2	0	0	0
Tehachapi_Ex_Solar	3	3	0	0	0
Tehachapi_Ex_Solar	3	4	0	0	0
Tehachapi_Ex_Solar	3	5	0	0	0
Tehachapi_Ex_Solar	3	6	0	0	0
Tehachapi_Ex_Solar	3	7	7.16881943903069E-02	0	0
Tehachapi_Ex_Solar	3	8	0.277377282103936	0	0
Tehachapi_Ex_Solar	3	9	0.494247595982783	0	0
Tehachapi_Ex_Solar	3	10	0.7048575370212	0	0
Tehachapi_Ex_Solar	3	11	0.626294415746638	0	0
Tehachapi_Ex_Solar	3	12	0.645385808795523	0	0
Tehachapi_Ex_Solar	3	13	0.579485405610843	0	0
Tehachapi_Ex_Solar	3	14	0.570525521349845	0	0
